UPDATE_IO_MAPPING,0,DI,InBuffer
1,DI,InBuffer
4,DI,AuditBuffer
5,DI,AuditBuffer
6,DI,AuditBuffer
7,DI,AuditBuffer
8,DI,ProcessBin
9,DI,ProcessBin
10,DI,ProcessBin
11,DI,ProcessBin
12,DI,NGBin
13,DI,NGBin
14,DI,NGBin
15,DI,NGBin
16,DI,Clamp1_Closed
17,DI,Clamp1_Open
18,DI,Clamp1_DUT
19,DI,Clamp2_Closed
20,DI,Clamp2_Open
21,DI,Clamp2_DUT
24,DI,RejectDrawer_Closed
25,DI,RejectRequestButton_Pressed
26,DI,GoldenDoor_Closed
27,DI,GoldenRequestButton_Pressed
28,DI,Air
29,DI,Electric
30,DI,E-Stop
0,DO,Red_Light
1,DO,Yellow_Light
2,DO,Green_Light
3,DO,Buzzer
12,DO,Clamp1_Close
13,DO,Clamp1_Open
14,DO,Clamp2_Close
15,DO,Clamp2_Open
18,DO,RejectDrawer_Lock
19,DO,GoldenDoor_Lock
20,DO,GoldenDoor_Light